Number2;Item;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese2
0000;None;;;;;;;;
0001;Master Ball;Meisterball;Master Ball;Master Ball;Master Ball;マスターボール;마스터볼;大师球;大師球
0002;Ultra Ball;Hyperball;Hyper Ball;Ultra Ball;Ultra Ball;ハイパーボール;하이퍼볼;高级球;高級球
0003;Great Ball;Superball;Super Ball;Super Ball;Mega Ball;スーパーボール;슈퍼볼;超级球;超級球
0004;Poké Ball;Pokéball;Poké Ball;Poké Ball;Poké Ball;モンスターボール;몬스터볼;精灵球;精靈球
0005;Safari Ball;Safariball;Safari Ball;Safari Ball;Safari Ball;サファリボール;사파리볼;狩猎球;狩獵球
0006;Net Ball;Netzball;Filet Ball;Malla Ball;Rete Ball;ネットボール;네트볼;捕网球;捕網球
0007;Dive Ball;Tauchball;Scuba Ball;Buceo Ball;Sub Ball;ダイブボール;다이브볼;潜水球;潛水球
0008;Nest Ball;Nestball;Faiblo Ball;Nido Ball;Minor Ball;ネストボール;네스트볼;巢穴球;巢穴球
0009;Repeat Ball;Wiederball;Bis Ball;Acopio Ball;Bis Ball;リピートボール;리피트볼;重复球;重複球
0010;Timer Ball;Timerball;Chrono Ball;Turno Ball;Timer Ball;タイマーボール;타이머볼;计时球;計時球
0011;Luxury Ball;Luxusball;Luxe Ball;Lujo Ball;Chic Ball;ゴージャスボール;럭셔리볼;豪华球;豪華球
0012;Premier Ball;Premierball;Honor Ball;Honor Ball;Premier Ball;プレミアボール;프리미어볼;纪念球;紀念球
0013;Dusk Ball;Finsterball;Sombre Ball;Ocaso Ball;Scuro Ball;ダークボール;다크볼;黑暗球;黑暗球
0014;Heal Ball;Heilball;Soin Ball;Sana Ball;Cura Ball;ヒールボール;힐볼;治愈球;治癒球
0015;Quick Ball;Flottball;Rapide Ball;Veloz Ball;Velox Ball;クイックボール;퀵볼;先机球;先機球
0016;Cherish Ball;Jubelball;Mémoire Ball;Gloria Ball;Pregio Ball;プレシャスボール;프레셔스볼;贵重球;貴重球
0017;Potion;Trank;Potion;Poción;Pozione;キズぐすり;상처약;伤药;傷藥
0018;Antidote;Gegengift;Antidote;Antídoto;Antidoto;どくけし;해독제;解毒药;解毒藥
0019;Burn Heal;Feuerheiler;Anti-Brûle;Antiquemar;Antiscottatura;やけどなおし;화상치료제;灼伤药;灼傷藥
0020;Ice Heal;Eisheiler;Antigel;Antihielo;Antigelo;こおりなおし;얼음상태치료제;解冻药;解凍藥
0021;Awakening;Aufwecker;Réveil;Despertar;Sveglia;ねむけざまし;잠깨는약;解眠药;解眠藥
0022;Paralyze Heal;Para-Heiler;Anti-Para;Antiparalizador;Antiparalisi;まひなおし;마비치료제;解麻药;解麻藥
0023;Full Restore;Top-Genesung;Guérison;Restaurar Todo;Ricarica totale;かいふくのくすり;회복약;全复药;全復藥
0024;Max Potion;Top-Trank;Potion Max;Poción Máxima;Pozione max;まんたんのくすり;풀회복약;全满药;全滿藥
0025;Hyper Potion;Hypertrank;Hyper Potion;Hiperpoción;Iperpozione;すごいキズぐすり;고급상처약;厉害伤药;厲害傷藥
0026;Super Potion;Supertrank;Super Potion;Superpoción;Superpozione;いいキズぐすり;좋은상처약;好伤药;好傷藥
0027;Full Heal;Hyperheiler;Total Soin;Cura Total;Cura totale;なんでもなおし;만병통치제;万灵药;萬靈藥
0028;Revive;Beleber;Rappel;Revivir;Revitalizzante;げんきのかけら;기력의조각;活力碎片;活力碎片
0029;Max Revive;Top-Beleber;Rappel Max;Revivir Máximo;Revitalizzante max;げんきのかたまり;기력의덩어리;活力块;活力塊
0030;Fresh Water;Tafelwasser;Eau Fraîche;Agua Fresca;Acqua fresca;おいしいみず;맛있는물;美味之水;美味之水
